id,uploaded_at,user_id,process,file
300,"2025-08-12 09:52:10.421121",2,"Namma Yatri","uploads/Namma Yatri/Namma__Yatri_hnKePC9.xlsx"
301,"2025-08-12 10:51:49.039779",2,"Bajaj Capital","uploads/Bajaj Capital/Agent_Wise_Performance_120825135432.csv"
302,"2025-08-12 10:53:59.707595",2,"Namma Yatri","uploads/Namma Yatri/Namma__Yatri_g7xqzcB.xlsx"
303,"2025-08-12 10:55:23.085420",2,"S C JOHNSON","uploads/S C JOHNSON/SC_Johnson_APR_Hl9MUwy.xlsx"
304,"2025-08-12 10:56:36.159212",2,"Bajaj Allianz-Noida","uploads/Bajaj Allianz-Noida/Bajaj_Allianz_APR_B91SoMo.xlsx"
305,"2025-08-13 08:16:56.923347",2,"Namma Yatri","uploads/Namma Yatri/Namma__Yatri_w9DGm5b.xlsx"
306,"2025-08-13 08:17:19.522838",2,"Bajaj Capital","uploads/Bajaj Capital/Agent_Wise_Performance_130825131326.csv"
307,"2025-08-13 08:18:34.966400",2,"S C JOHNSON","uploads/S C JOHNSON/SC_Johnson_APR_BTAaMpV.xlsx"
308,"2025-08-14 03:52:31.122843",2,"SBI Card","uploads/SBI Card/Agent_Wise_Performance_130825093533.csv"
309,"2025-08-14 04:00:26.659518",2,MOT,uploads/MOT/Mot.xlsx
310,"2025-08-14 04:43:09.660751",2,MEITY,uploads/MEITY/My_Gov_snoKtQN.xlsx
311,"2025-08-14 05:12:46.835960",2,"SBI Card","uploads/SBI Card/Agent_Wise_Performance_140825095811.csv"
312,"2025-08-14 07:11:15.834863",2,MOT,uploads/MOT/Mot_RRTsh4c.xlsx
313,"2025-08-14 09:21:54.079586",2,"Namma Yatri","uploads/Namma Yatri/Namma__Yatri_OQYH23D.xlsx"
314,"2025-08-14 09:22:06.108170",2,"Bajaj Allianz-Noida","uploads/Bajaj Allianz-Noida/Bajaj_Allianz_APR_jdFdWe5.xlsx"
